name,lat,lon
Cukrovar Čakovice,50.15161,14.519001
Starochuchelská,50.01145,14.385867
Kovárna,50.11738,14.416596
Višňová,50.031227,14.447767
Pod Třebešínem,50.080986,14.485651
Ústavy Akademie věd,50.017975,14.466885
Přeštická,50.044693,14.512395
Praha-Běchovice,50.082195,14.598027
Lahovický most,49.995434,14.398083
Záběhlická škola,50.053032,14.50318
Venušina,50.02629,14.608627
Kněžská luka,50.092117,14.493246
Třebešín,50.084106,14.481901
Na Staré cestě,50.038555,14.441593
Nádraží Satalice,50.123566,14.571158
Bazén Hloubětín,50.104477,14.535576
U Průseku,50.059113,14.516964
Mrkosova,50.00721,14.38089
K Letňanům,50.143875,14.48425
Zvonařka,50.070915,14.434498
Římská,50.076767,14.435407
Antala Staška,50.041607,14.444363
Malešický park,50.08631,14.496203
Doležalova,50.10185,14.570204
Starý Spořilov,50.04254,14.473511
Sídlištní,50.12704,14.378374
Chodovská tvrz,50.033226,14.500105
Dědinova,50.03391,14.483525
Nemocnice Bohnice,50.137665,14.418087
Nádraží Čakovice,50.150314,14.520338
Divadlo Gong,50.106667,14.488344
Libuš,50.008957,14.455713
Brusnice,50.093037,14.392054
Ve Výrech,50.035095,14.306014
Solidarita,50.076874,14.494266
Horní Lysolaje,50.129604,14.365529
Bohemians,50.066338,14.45529
Valtická,50.066128,14.266241
Haštalské náměstí,50.091,14.42404
Vítězné náměstí,50.09975,14.395556
Čimice,50.14081,14.430658
Dvorní,50.147533,14.448384
Nad Trojou,50.120354,14.439337
Zadní Kopanina,50.006626,14.312903
Františka Veselého,50.12181,14.621569
Paceřická,50.119507,14.610931
Brodecká,50.088806,14.323622
Dělnická,50.103146,14.449928
Škola Nebušice,50.11093,14.330694
Bludovická,50.135994,14.511313
Knovízská,50.04137,14.500134
Štěrboholy,50.07179,14.550422
Pražská čtvrť,50.027943,14.366859
Na Hřebenech,50.051643,14.428255
Malvazinky,50.06495,14.3888
Štorkánova,50.06166,14.392675
Otakarova,50.06558,14.440476
Zdiměřická,50.022244,14.517592
Hlávkova,50.036404,14.314268
Nad Konvářkou,50.053806,14.399128
Hanspaulka,50.104687,14.373024
U Vodojemu,50.122547,14.527329
Sídliště Radotín,49.98021,14.353541
Pod Královkou,50.08575,14.37884
Na Mlýnici,50.114174,14.3207
Blažimská,50.042584,14.49285
Vinice Hrdlořezy,50.100166,14.517855
Na Lukách,50.097538,14.51162
Baba I,49.998253,14.415096
Výhledské náměstí,50.135037,14.373276
Stará Holyně,50.029705,14.356933
Plošná,50.068466,14.517532
